,score
0,49.722627737226276
1,23.5
2,21.558333333333334
3,25.216
4,22.384615384615383
5,19.46923076923077
6,17.93846153846154
7,18.93846153846154
8,19.315384615384616
9,19.93076923076923
10,19.546153846153846
11,19.146153846153847
12,18.67669172932331
13,21.764285714285716
14,21.792857142857144
15,19.164285714285715
16,19.98507462686567
17,22.14179104477612
18,22.37313432835821
19,21.66923076923077
20,19.49230769230769
21,19.384615384615383
22,23.092307692307692
23,20.223076923076924
24,23.353846153846153
25,22.323076923076922
26,25.8
27,27.846153846153847
28,27.723076923076924
29,26.523076923076925
30,24.33076923076923
31,24.26153846153846
32,22.923076923076923
33,27.00769230769231
34,26.846153846153847
35,27.984615384615385
36,23.684615384615384
37,24.876923076923077
38,22.83076923076923
39,23.43076923076923
40,25.823076923076922
41,24.37878787878788
42,24.27480916030534
43,23.416666666666668
44,24.369230769230768
45,25.184615384615384
46,26.638461538461538
47,25.248175182481752
48,24.139705882352942
49,26.57037037037037
50,25.585185185185185
51,24.728571428571428
52,23.807142857142857
53,27.15714285714286
54,28.391304347826086
55,26.404109589041095
56,24.732876712328768
57,24.6875
58,23.72222222222222
59,23.444444444444443
60,25.86111111111111
61,18.875
62,18.86111111111111
63,23.73611111111111
64,25.34027777777778
65,21.083916083916083
66,23.6013986013986
67,23.902097902097903
68,26.23076923076923
69,25.223776223776223
