,score
0,22.508333333333333
1,18.942307692307693
2,19.90082644628099
3,18.258333333333333
4,42.17142857142857
5,43.28671328671329
6,40.35064935064935
7,17.174242424242426
8,20.546153846153846
9,21.529850746268657
10,21.7593984962406
11,22.892857142857142
12,23.075187969924812
13,21.893333333333334
14,22.85333333333333
15,21.385714285714286
16,20.150375939849624
17,20.992537313432837
18,22.544776119402986
19,22.26923076923077
20,23.923076923076923
21,25.446153846153845
22,24.684615384615384
23,24.115384615384617
24,23.076923076923077
25,23.576923076923077
26,22.323076923076922
27,23.053846153846155
28,24.876923076923077
29,27.83076923076923
30,30.338461538461537
31,26.584615384615386
32,25.023076923076925
33,27.43846153846154
34,28.53076923076923
35,31.153846153846153
36,27.06153846153846
37,24.753846153846155
38,24.7
39,27.76923076923077
40,28.192307692307693
41,25.184615384615384
42,25.146153846153847
43,23.607692307692307
44,27.53076923076923
45,22.892307692307693
46,24.715384615384615
47,25.674074074074074
48,26.125925925925927
49,25.68888888888889
50,28.79259259259259
51,28.34285714285714
52,23.885714285714286
53,30.071428571428573
54,30.74436090225564
55,26.75
56,23.529411764705884
57,23.645833333333332
58,25.90277777777778
59,26.083333333333332
60,26.791666666666668
61,20.45138888888889
62,20.21527777777778
63,24.145833333333332
64,24.04861111111111
65,24.055944055944057
66,24.482517482517483
67,24.055944055944057
68,25.58041958041958
69,25.86013986013986
